RegistrationNumber,LabelName,Class,Order,Family,ScientificName,DateTaxonomyCorrected,TaxonomyNotes,TypeStatus,Country,Locality,Latitude,Longitude,Extent_km,Certainty,Type,NOTES,Georeferencer,DateGeoreferenced,Validated
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - Original registration 1898.5.12.9 - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Lecce, Italy",40.351487,18.175157,4.97,75%,2.3,"Lecce showed up instantly on google maps, name locality of city used for midpoint and extent taken out from this to furthest point within boundary. Certainty score reflects accuracy of coordinates to locality given, specimen is likely to be within extent. 100% not given as online records show that type locality is   ""Potenza"" and ""Potenza di Basilicata"", southern Italy. (~200km away from Lecce).http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Salamandridae/Pleurodelinae/Lissotriton/Lissotriton-italicus and name given could also refer to Lecce the Province, not the city, which would require a larger extent for this specimen. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - Original registration 1898.5.12.10 - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Lecce, Italy",40.351487,18.175157,4.97,75%,2.3,"Lecce showed up instantly on google maps, name locality of city used for midpoint and extent taken out from this to furthest point within boundary. Certainty score reflects accuracy of coordinates to locality given, specimen is likely to be within extent. 100% not given as online records show that type locality is   ""Potenza"" and ""Potenza di Basilicata"", southern Italy. (~200km away from Lecce).http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Salamandridae/Pleurodelinae/Lissotriton/Lissotriton-italicus and name given could also refer to Lecce the Province, not the city, which would require a larger extent for this specimen. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - Original registration 1898.5.12.4 - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Potenza, Basilicata, Italy ",40.64025,15.805482,3.38,75%,2.3,"Potenza defined as city in southern Italy on Wikipedia and is in region of Basilicata. Place name was used as midpoint and extent measured out from this to furthest point within boundary. Certainty reflects small town which specimen should be found in but could also have been just outside of, the specimen description could also refer to the entire Provence of Potenza, not just its capital city. Hence why 100% certainty not given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - Original registration 1898.3.28.9 - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Potenza, Basilicata, Italy ",40.64025,15.805482,3.38,75%,2.3,"Potenza defined as city in southern Italy on Wikipedia and is in region of Basilicata. Place name was used as midpoint and extent measured out from this to furthest point within boundary. Certainty reflects small town which specimen should be found in but could also have been just outside of, the specimen description could also refer to the entire Provence of Potenza, not just its capital city. Hence why 100% certainty not given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - Original registration 1898.3.28.10 - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Potenza, Basilicata, Italy ",40.64025,15.805482,3.38,75%,2.3,"Potenza defined as city in southern Italy on Wikipedia and is in region of Basilicata. Place name was used as midpoint and extent measured out from this to furthest point within boundary. Certainty reflects small town which specimen should be found in but could also have been just outside of, the specimen description could also refer to the entire Provence of Potenza, not just its capital city. Hence why 100% certainty not given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - Original registration 1898.3.28.?? - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Potenza, Basilicata, Italy ",40.64025,15.805482,3.38,75%,2.3,"Potenza defined as city in southern Italy on Wikipedia and is in region of Basilicata. Place name was used as midpoint and extent measured out from this to furthest point within boundary. Certainty reflects small town which specimen should be found in but could also have been just outside of, the specimen description could also refer to the entire Provence of Potenza, not just its capital city, hence why 100% certainty not given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Nov-17,,"Type of Molge italica Peracca, 1898 - MZUT An 590.1 designated lectotype by Gavetti and Andreone, 1993, Cat. Mus. Reg. Sci. Nat., Torino, 10: 127.",Italy,"Potenza, Basilicata, 822m, Italy",40.64025,16.805482,5.18,75%,2.3,"Potenza defined as city in southern Italy on Wikipedia and is in region of Basilicata. Place name was used as midpoint and extent measured out from this to furthest point within boundary. Extent measured from name locality (midpoint) to furthest point @ ~822m (in between 820-840m) 5.18km (40.660193, 15.749806) Certainty score reflects high chance of specimen being within extent as it thoroughly covers elevation and locality given.",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton meridionalis,Nov-17,,"Type of Molge vulgaris var. meridionalis Boulenger, 1882 - Original registration I.I.9.1k",Italy,"Turin, Italy",45.070285,7.686871,9.65,75%,2.3,"Searched for Turin, Italy, with google maps. Location showed as city within Italy, used named place as midpoint marker and measured extent out from this to point just inside of boundary. This is a large city, its like specimen was found within boundary, certainty score reflects this",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton meridionalis,Nov-17,,"Type of Molge vulgaris var. meridionalis Boulenger, 1882 - Original registration I.I.9.1l",Italy,"Turin, Italy",45.070285,7.686871,9.65,75%,2.3,"Searched for Turin, Italy, with google maps. Location showed as city within Italy, used named place as midpoint marker and measured extent out from this to point just inside of boundary. This is a large city, its like specimen was found within boundary, certainty score reflects this",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton meridionalis,Nov-17,,"Type of Molge vulgaris var. meridionalis Boulenger, 1882 - Original registration I.I.9.1m",Italy,"Turin, Italy",45.070285,7.686871,9.65,75%,2.3,"Searched for Turin, Italy, with google maps. Location showed as city within Italy, used named place as midpoint marker and measured extent out from this to point just inside of boundary. This is a large city, its like specimen was found within boundary, certainty score reflects this",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton meridionalis,Nov-17,,"Type of Molge vulgaris var. meridionalis Boulenger, 1882 - Original registration 1882.7.17.20",Italy,"Gorz (Gorizia), Italy",45.940189,13.620166,4.16,75%,2.3,"Gorz, Italy returned no exact results via a google search but ""Gorizia"" was suggested instead, upon reading this cities Wikipedia page and the species distribution(http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Salamandridae/Pleurodelinae/Lissotriton/Lissotriton-meridionalis) it was clear that this city was the correct locality. midpoint was placed on town name and extent measured from here to furthest point within boundary. Certainty score reflects likelihood that specimen was found within this area as it matches both locality and distribution records.",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton meridionalis,Nov-17,,"Type of Molge vulgaris var. meridionalis Boulenger, 1882 - Original registration 1882.7.17.21",Italy,"Gorz (Gorizia), Italy",45.940189,13.620166,4.16,75%,2.3,"Gorz, Italy returned no exact results via a google search but ""Gorizia"" was suggested instead, upon reading this cities Wikipedia page and the species distribution(http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Salamandridae/Pleurodelinae/Lissotriton/Lissotriton-meridionalis) it was clear that this city was the correct locality. midpoint was placed on town name and extent measured from here to furthest point within boundary. Certainty score reflects likelihood that specimen was found within this area as it matches both locality and distribution records.",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton meridionalis,Nov-17,,"Type of Molge vulgaris var. meridionalis Boulenger, 1882 - Original registration 1882.7.17.22",Italy,"Gorz (Gorizia), Italy",45.940189,13.620166,4.16,75%,2.3,"Gorz, Italy returned no exact results via a google search but ""Gorizia"" was suggested instead, upon reading this cities Wikipedia page and the species distribution(http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Salamandridae/Pleurodelinae/Lissotriton/Lissotriton-meridionalis) it was clear that this city was the correct locality. midpoint was placed on town name and extent measured from here to furthest point within boundary. Certainty score reflects likelihood that specimen was found within this area as it matches both locality and distribution records.",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Nov-17,,"Paratype of Triturus vulgaris schmidtleri Raxworthy, 1988",Turkey,"3km S. Karacaby, N.W. Turkey, 40¡ 12' N, 28¡ 22' E, 50m",40.200033,28.366645,3.5,75%,2.3,"Karacaeby shows as town in Turkey on google maps, I measured from the towns named place point (midpoint) to 3.5km in a southerly direction (to encapsulate 3km collection point) and ensured this extent included elevations at 50m. Even though these points refer to exact coordinates, these are only 1.85km outside the town of Karacaby, therefore the given extent encapsulates this point and includes the 3km locale information too. Google maps elevation rings only start at 100m but all of extent was below this. However, as exact locality is given I decided to record the midpoint using these coordinates. I recorded the midpoint from the given coordinates (40.200033, 28.366645), then measured the extent to the town centre to encompass the local area given. Town centre is 40.215984 28.358730, distance from this to the given coordinates is 1.88km, therefore I have extended the extent to 3km to ensure that all parts of the description is covered. Certainty score is high because locality rather detailed, specimen should be within extent given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Nov-17,,"Paratype of Triturus vulgaris schmidtleri Raxworthy, 1989",Turkey,"3km S. Karacaby, N.W. Turkey, 40¡ 12' N, 28¡ 22' E, 50m",40.200033,28.366645,3.5,75%,2.3,"Karacaeby shows as town in Turkey on google maps, I measured from the towns named place point (midpoint) to 3.5km in a southerly direction (to encapsulate 3km collection point) and ensured this extent included elevations at 50m. Even though these points refer to exact coordinates, these are only 1.85km outside the town of Karacaby, therefore the given extent encapsulates this point and includes the 3km locale information too. Google maps elevation rings only start at 100m but all of extent was below this. However, as exact locality is given I decided to record the midpoint using these coordinates. I recorded the midpoint from the given coordinates (40.200033, 28.366645), then measured the extent to the town centre to encompass the local area given. Town centre is 40.215984 28.358730, distance from this to the given coordinates is 1.88km, therefore I have extended the extent to 3km to ensure that all parts of the description is covered. Certainty score is high because locality rather detailed, specimen should be within extent given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Nov-17,,"Paratype of Triturus vulgaris schmidtleri Raxworthy, 1988",Turkey,"3km S. Karacaby, N.W. Turkey, 40¡ 12' N, 28¡ 22' E, 50m",40.200033,28.366645,3.5,75%,2.3,"Karacaeby shows as town in Turkey on google maps, I measured from the towns named place point (midpoint) to 3.5km in a southerly direction (to encapsulate 3km collection point) and ensured this extent included elevations at 50m. Even though these points refer to exact coordinates, these are only 1.85km outside the town of Karacaby, therefore the given extent encapsulates this point and includes the 3km locale information too. Google maps elevation rings only start at 100m but all of extent was below this. However, as exact locality is given I decided to record the midpoint using these coordinates. I recorded the midpoint from the given coordinates (40.200033, 28.366645), then measured the extent to the town centre to encompass the local area given. Town centre is 40.215984 28.358730, distance from this to the given coordinates is 1.88km, therefore I have extended the extent to 3km to ensure that all parts of the description is covered. Certainty score is high because locality rather detailed, specimen should be within extent given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Nov-17,,"Paratype of Triturus vulgaris schmidtleri Raxworthy, 1988",Turkey,"3km S. Karacaby, N.W. Turkey, 40¡ 12' N, 28¡ 22' E, 50m",40.200033,28.366645,3.5,75%,2.3,"Karacaeby shows as town in Turkey on google maps, I measured from the towns named place point (midpoint) to 3.5km in a southerly direction (to encapsulate 3km collection point) and ensured this extent included elevations at 50m. Even though these points refer to exact coordinates, these are only 1.85km outside the town of Karacaby, therefore the given extent encapsulates this point and includes the 3km locale information too. Google maps elevation rings only start at 100m but all of extent was below this. However, as exact locality is given I decided to record the midpoint using these coordinates. I recorded the midpoint from the given coordinates (40.200033, 28.366645), then measured the extent to the town centre to encompass the local area given. Town centre is 40.215984 28.358730, distance from this to the given coordinates is 1.88km, therefore I have extended the extent to 3km to ensure that all parts of the description is covered. Certainty score is high because locality rather detailed, specimen should be within extent given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Nov-17,,"Paratype of Triturus vulgaris schmidtleri Raxworthy, 1988",Turkey,"3km S. Karacaby, N.W. Turkey, 40¡ 12' N, 28¡ 22' E, 50m",40.200033,28.366645,3.5,75%,2.3,"Karacaeby shows as town in Turkey on google maps, I measured from the towns named place point (midpoint) to 3.5km in a southerly direction (to encapsulate 3km collection point) and ensured this extent included elevations at 50m. Even though these points refer to exact coordinates, these are only 1.85km outside the town of Karacaby, therefore the given extent encapsulates this point and includes the 3km locale information too. Google maps elevation rings only start at 100m but all of extent was below this. However, as exact locality is given I decided to record the midpoint using these coordinates. I recorded the midpoint from the given coordinates (40.200033, 28.366645), then measured the extent to the town centre to encompass the local area given. Town centre is 40.215984 28.358730, distance from this to the given coordinates is 1.88km, therefore I have extended the extent to 3km to ensure that all parts of the description is covered. Certainty score is high because locality rather detailed, specimen should be within extent given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Nov-17,,"Holotype of Triturus vulgaris schmidtleri Raxworthy, 1988- with ""remark""- 3.4.87",Turkey,"3km S. Karacaby, N.W. Turkey, 40¡ 12' N, 28¡ 22' E, 50m",40.200033,28.366645,3.5,75%,2.3,"Karacaeby shows as town in Turkey on google maps, I measured from the towns named place point (midpoint) to 3.5km in a southerly direction (to encapsulate 3km collection point) and ensured this extent included elevations at 50m. Even though these points refer to exact coordinates, these are only 1.85km outside the town of Karacaby, therefore the given extent encapsulates this point and includes the 3km locale information too. Google maps elevation rings only start at 100m but all of extent was below this. However, as exact locality is given I decided to record the midpoint using these coordinates. I recorded the midpoint from the given coordinates (40.200033, 28.366645), then measured the extent to the town centre to encompass the local area given. Town centre is 40.215984 28.358730, distance from this to the given coordinates is 1.88km, therefore I have extended the extent to 3km to ensure that all parts of the description is covered. Certainty score is high because locality rather detailed, specimen should be within extent given. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Neurergus kaiseri,Nov-17,,"Paratype of Neurergus crocatus kaiseri Schmidt, 1952",Iran,"Zagros Mountains (Persia), Iran (updated- see georeference notes)",32.783368,48.650007,12,75%,3.3,"Specimen bottle read: Zagros Mountains (Persia), Iran. I first georeferenced the mountains: The Zagros Mountains is now a mountain range that covers the Iranian plateu (not Persia). Wikipedia showed that itÕs a 1,500km stretch of mountains that start at Lake Urmia and go to the straits of Hormuz at the entrance of the Persian Gulf (https://heritageinstitute.com/zoroastrianism/zagros/index.htm). I looked these localities up on google maps, however their point localities were rather random so I dropped a pin at the most southern point of Lake Urmia to indicate the start of the mountain range (38.213175, 45.115672) and did the same at the furthest south point where the mountains ""begin"" just above the Persian gulf (27.566922, 56.844364) (=1,608.40km). I then took the midpoint (804.2km) which gave the coordinates and extent. Certainty score shows that the specimens should have been collected in this large area where the extent has also been overestimated from the original ""1,500km"" to encompass the mountain range.  But then I found further information: After investigating other newt species in the surrounding area, I came across literature that detailed this species locality further. The amnh.org page for this species http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Caudata/Salamandridae/Pleurodelinae/Neurergus/Neurergus-kaiseri showed that the type locality is Ò""Shah Bazan, Luristan, Iran"", Zagros Mountains, 1200 meters, from 10 to 15 km south of the junction of the Ab-I-Cesar and Ab-I-Diz riversÓ and that ÒMuseum records give locality as ""Locality 70: 'Good Springs' 11km N of Shah Bazan, 8 km SW of junction with Ab-i-Diz and Ab-i-Cezar river""Ó. However, these localities were incredibly hard to find as although the Ab-i-Diz (ÒDezÓ) river exists, there were no documents or map localities found for Abi-i-Cezar. Sharifi Sharifi et al (2013) describes the type specimenÕs localities as they were done in the original documentation (Schmidt, 1952) ÒNeurergus kaiseri, KaiserÕs Mountain Newt (Fig. 1), was first described as a subspecies of N. crocatus from two streams surrounding Shahbazan rail station, Lorestan Province, Iran (Schmidt 1952). The first of these streams is Shahbazan stream, located 8 km southwest of Ab-I-Cezar (Dez River) at approximately 1,200 m elevation. The other location is 8 km north- northeast of the upper part of the Tove Stream at a spring emerging from a cave at 1,000 m elevation (Schmidt 1952). This paper gave Ògeneralised coordinatesÓ for these localities which I explored on google maps. I could find a set of coordinates for Shahb?zan and the rail station there (32.783368, 48.650007) (midpoint) (https://geographic.org/geographic_names/name.php?uni=-4344838&fid=2846&c=iran)(32¡ 47' 00"" N, 48¡ 39' 00"" E). To encompass both localities given in the documentation (Tove 32.8 _ N, 48.7 _ E 1000m & Shahbazan 32.8 _ N, 48.6 _ E, 1200m) and their elevations, using the extent tool on google maps I measured out from Shabazan to 1200m in all directions and recorded the furthest distance (32.806775, 48.278608), this ensured that both localities were encompassed in the extent parameter and reduced this distance from the first recording by a great amount. The latter information was for the type specimen, but the museum has the paratype, therefore I could not use the more precise georeferenced locality without proving that both specimens were found at the same time/place. Luckily, the museum holds reprints of many herpetologists published work. I searched through Karl P. SchmidtÕs work and came across the book ÒAmphibians and Reptiles from IranÓ (Schmidt, K. P. 1952) which I had been looking for online. It was reprinted from Vidensk. Medd. Fra Dansk naturh. Foren., bd. 117, 1955. Schmidt writes Òthe amphibians and reptiles collected in Iran by the Danish botanists and zoologists in the course of the Danish Scientific Investigations in Iran were entrusted to me for critical identification and report by Dr. F.W. Braestrup, of the Universitetets Zoologiske Museum at Copenhagen, with the consent of Professor Dr. R. Sparck, then head of the vertebrate department, in 1938Ó. ÒIt was the intention of Mag. Sc. E. Kaiser to report on the series of salamanders collected by himself in Luristan, which he recognised as of especial interest; this he was unable to carry out on account of other duties. His specimens represent a distinct new subspecies of the remarkable Neurergus crocatus (Salamandridae), which I have named for him in recognition of major contributions to the herpetological collections made by the groupÓ. He described the specimenÕs location as: ÒShah Bazan, about 11km N. of, i.e. 8km SW of the junction of Abi-i-Cezar with Abi-i-Diz. ÒGood springsÓ. (As far as the collector ascertained these springs are not among the sources of Tuba Creek, from which they are well isolated), ab. 1200m, Apr. 28, 1937, male type (03184), female allotype (03182) and 7 further adults (03183, 03185-87, 1 in British museum, 2 in Chicago Mus.), several larvae (03201)Ó. Along with other specimens from different pools Shah Bazan, ab .8km NNE of, upper part of Tuba Creek valley, at a spring emerging from a sort of cave, Mansu Abad, about 1200m (Tuba Creek is a small affluent to the right bank of Abi-i-Diz), Apr. 27, 1937, 2 ad. (03188-89).Ó ÒOne of the sources of Tuba Creek in the neighbourhood of the village called Tuba, probably about 750m., Apr. 25, 1937, 6 adults (03190-95), 5 larvae (03200).Ó ÒOne of the uppermost sources of Tuba Creek. A Moindjah, probably about 1000m, Apr.26, 1937, 1 adult (Chicago Mus.), 4 larvae (03196-99).Ó Then there is a photo of Neurergus crocatus kaiseri- showing the dorsal view of Òtype (right) and paratypeÓ. The pages also describe the salamanderÕs morphology and a map of the localities of collection in the Zagros Mts, Òwhere most of the specimens were collectedÓ.  For the specimen located at the museum, again the type locality is: ÒShah Bazan, about 11km N. of, i.e. 8km SW of the junction of Ab-i-Cezar with Ab-i-Diz. ÒGood SpringsÓ. Òab. 1200mÓ. I used the hand drawn map of the area within the book to follow the Abi-i-Diz river (Dez river) up from Shah Bazan towards Tangeh Haft to look for the split indicated in the description by comparing the drawn map to Google Maps satellite imagery of the area (found that Abi-i-cezar river is now named Sezar river). The split as indicated in the map was not prominent on Google Maps and the closest I found to it was a split where the Abi-i-Diz (or Dez river) is intercepted by the Sezar river at Tang-e-Panj (32.944623, 48.745294). I decided to measure the extent out from Shah Bazan to the distance given in the original description ÒShah Bazan, about 11km N. of, i.e. 8km SW of the junction of Abi-i-Cezar with Abi-i-Diz. ÒGood springsÓ ab. 1200mÓ, so I kept the midpoint at Shah Bazan and measured 12km north (32.891355, 48.649055) to encompass the first point and hopefully cover the  second lots of directions within the extent. I also ensured that the area covered encapsulated areas with elevations of and around 1200m using ÒterrainÓ view on Google Maps. The extent being measured to 12km from Shah Bazan also meant that it was around 8km SW of Tang-e-Panj where I think the river split occurs, I have therefore given this point a high certainty score as it encompasses all parts of the description, but I cannot be 100% sure that the specimen is found here. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Neurergus microspilotus,Nov-17,,"Type of Rhithrotriton derjugini Nesterov, 1916 - Original registration 1917.5.3.9",Iran,"Mountains of Kurdistan, Iran",35.682533,46.958286,130,75%,2.6,"Specimen locality shows ""Mts of Kurdistan"" whereas locality information on amnh.org specifies that locality is """"montibus Surkeu"" (= Surkev Mountains, Kurdistan), Iran"". However, I was unable to find precise coordinates or general localities for these mountains. The literature did state that they were in Kurdistan, which Wikipedia showed is now mainly confined to the Kurdistan Province in Iran. Therefore, I found this province on google maps and measured the furthest distance apart from the top left (35.037128, 48.115075) to the bottom right (36.233576, 45.709069), I measured this and used the centre point (127.15km between edgem points) (35.682533,46.958286) as the midpoint and the distance to the outer-most points within the border as the extent. Due to the border being large and very uneven, I extended the extent from 127.15km-130km to ensure that all areas within the border were encapsulated. I also found documentation of recent recorded localities for this species; Zarei et al (2017) explained that that this species was described from the Surkev mountains in Kurdistan, Iran but that after its type description no further specimens of this species were found. It was explained that researchers then considered it a synonym of Neuregus crocatus and that similar specimens were found in the Avroman Mountains in West Iran, and that since authors have proposed N. derjuni derjuni and N. derjugini microspilotus as Òvalid taxonomic namesÓ until more detailed studies. This study went on to show previous localities of N. derjugini across Kurdistan province and the recent localities of N. deruiguni derjuguni which were along the border between Kurdistan province, Iran and Iraq. Therefore, by georeferencing the entire province as IÕve done should ensure that the species original locality is encompassed even without more exact locality details as IÕve covered the mountainous regions and visual localities where this species was previously found, this is reflected in the certainty score. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Neurergus microspilotus,Nov-17,,"Type of Rhithrotriton derjugini Nesterov, 1916 - Original registration 1917.5.3.10",Iran,"Mountains of Kurdistan, Iran",35.682533,46.958286,130,75%,2.6,"Specimen locality shows ""Mts of Kurdistan"" whereas locality information on amnh.org specifies that locality is """"montibus Surkeu"" (= Surkev Mountains, Kurdistan), Iran"". However, I was unable to find precise coordinates or general localities for these mountains. The literature did state that they were in Kurdistan, which Wikipedia showed is now mainly confined to the Kurdistan Province in Iran. Therefore, I found this province on google maps and measured the furthest distance apart from the top left (35.037128, 48.115075) to the bottom right (36.233576, 45.709069), I measured this and used the centre point (127.15km between edgem points) (35.682533,46.958286) as the midpoint and the distance to the outer-most points within the border as the extent. Due to the border being large and very uneven, I extended the extent from 127.15km-130km to ensure that all areas within the border were encapsulated. I also found documentation of recent recorded localities for this species; Zarei et al (2017) explained that that this species was described from the Surkev mountains in Kurdistan, Iran but that after its type description no further specimens of this species were found. It was explained that researchers then considered it a synonym of Neuregus crocatus and that similar specimens were found in the Avroman Mountains in West Iran, and that since authors have proposed N. derjuni derjuni and N. derjugini microspilotus as Òvalid taxonomic namesÓ until more detailed studies. This study went on to show previous localities of N. derjugini across Kurdistan province and the recent localities of N. deruiguni derjuguni which were along the border between Kurdistan province, Iran and Iraq. Therefore, by georeferencing the entire province as IÕve done should ensure that the species original locality is encompassed even without more exact locality details as IÕve covered the mountainous regions and visual localities where this species was previously found, this is reflected in the certainty score. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Neurergus microspilotus,Nov-17,,"Type of Rhithrotriton derjugini Nesterov, 1916 - Original registration 1917.5.3.8",Iran,"Mountains of Kurdistan, Iran",35.682533,46.958286,130,75%,2.6,"Specimen locality shows ""Mts of Kurdistan"" whereas locality information on amnh.org specifies that locality is """"montibus Surkeu"" (= Surkev Mountains, Kurdistan), Iran"". However, I was unable to find precise coordinates or general localities for these mountains. The literature did state that they were in Kurdistan, which Wikipedia showed is now mainly confined to the Kurdistan Province in Iran. Therefore, I found this province on google maps and measured the furthest distance apart from the top left (35.037128, 48.115075) to the bottom right (36.233576, 45.709069), I measured this and used the centre point (127.15km between edgem points) (35.682533,46.958286) as the midpoint and the distance to the outer-most points within the border as the extent. Due to the border being large and very uneven, I extended the extent from 127.15km-130km to ensure that all areas within the border were encapsulated. I also found documentation of recent recorded localities for this species; Zarei et al (2017) explained that that this species was described from the Surkev mountains in Kurdistan, Iran but that after its type description no further specimens of this species were found. It was explained that researchers then considered it a synonym of Neuregus crocatus and that similar specimens were found in the Avroman Mountains in West Iran, and that since authors have proposed N. derjuni derjuni and N. derjugini microspilotus as Òvalid taxonomic namesÓ until more detailed studies. This study went on to show previous localities of N. derjugini across Kurdistan province and the recent localities of N. deruiguni derjuguni which were along the border between Kurdistan province, Iran and Iraq. Therefore, by georeferencing the entire province as IÕve done should ensure that the species original locality is encompassed even without more exact locality details as IÕve covered the mountainous regions and visual localities where this species was previously found, this is reflected in the certainty score. ",Pawlik,Feb-18,
,,Amphibia,Caudata,Plethodontidae,Oedipina uniformis,Nov-17,,"Type of Ophiobatrachus vermicularis Gray, 1868 - Original registration 1868.8.17.5",Costa Rica,Costa Rica,9.970203,-84.187941,256.04,100%,2.1,"Country co-ordinates were obtained from the ""country midpoint"" document. The extent was then measured from this point using google maps. Certainty reflects full ""Country"" status of this data point, specimen locality must be within described area",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus,Nov-17,,"Type of Triton vittatus forma cilicensis Wolterstorff, 1906 - Original registration 1905.11.27.4",Turkey,"Adana, Turkey",36.991423,35.331065,20.1,75%,2.3,"Searched for Adana with google maps, it showed as city within Turkey. Used place name to place midpoint and then measured extent to furthest point just inside boundary. Certainty reflects that this is large city so its likely the specimen was found within the boundary",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus,Nov-17,,"Type of Triton vittatus forma cilicensis Wolterstorff, 1906 - Original registration 1905.11.27.5",Turkey,"Adana, Turkey",36.991423,35.331065,20.1,75%,2.3,"Searched for Adana with google maps, it showed as city within Turkey. Used place name to place midpoint and then measured extent to furthest point just inside boundary. Certainty reflects that this is large city so its likely the specimen was found within the boundary",Pawlik,Feb-18,
,,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus,Nov-17,,"Type of Triton vittatus forma cilicensis Wolterstorff, 1906 - Original registration 1905.11.27.6",Turkey,"Adana, Turkey",36.991423,35.331065,20.1,75%,2.3,"Searched for Adana with google maps, it showed as city within Turkey. Used place name to place midpoint and then measured extent to furthest point just inside boundary. Certainty reflects that this is large city so its likely the specimen was found within the boundary",Pawlik,Feb-18,
